iter	Passed	Remaining
0	1	125
1	2	107
2	3	99
3	4	96
4	4	94
5	5	93
6	7	93
7	8	94
8	9	92
9	10	90
10	10	88
11	11	86
12	12	85
13	13	84
14	14	83
15	15	81
16	16	79
17	17	78
18	18	78
19	19	78
20	20	78
21	21	77
22	22	76
23	23	75
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	57
42	42	56
43	43	55
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	78	20
79	79	19
80	80	18
81	82	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	91	11
89	92	10
90	93	9
91	94	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
